               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072685,             0.23665,          2.8511e-08,           0.0018295,            0.037849,          0.00096483,          0.00013372,            0.069264,             0.18994,           2.995e-08,            0.070366,           0.0032927,           0.0032927
                   1,            0.070706,             0.16693,          2.8975e-08,            0.069096,             0.21514,            0.041729,           0.0083403,             0.06627,             0.12534,          3.1034e-08,            0.040355,           0.0066151,           0.0066151
                   2,            0.060187,             0.13836,          3.2821e-08,            0.049517,              0.3745,            0.039444,           0.0076413,            0.061309,             0.22232,          5.6674e-08,            0.010333,           0.0099265,           0.0099265
                   3,            0.055506,             0.13871,          3.5486e-08,             0.15732,             0.28287,             0.11287,            0.024434,            0.054974,              0.1004,          3.8602e-08,           0.0099505,           0.0099505,           0.0099505
                   4,            0.054493,             0.13116,          3.9253e-08,             0.19754,             0.43825,             0.17863,            0.049212,            0.045226,             0.09586,          4.1704e-08,           0.0099505,           0.0099505,           0.0099505
                   5,            0.050268,             0.13291,          3.9081e-08,             0.27685,             0.53187,             0.28523,            0.088919,            0.039367,            0.096677,          4.0678e-08,            0.009934,            0.009934,            0.009934
                   6,            0.048847,             0.11871,          3.8855e-08,             0.29455,             0.53187,             0.31127,            0.093968,            0.042771,            0.096483,          4.4611e-08,           0.0099175,           0.0099175,           0.0099175
                   7,            0.047702,             0.11883,          3.7936e-08,             0.43918,             0.63546,             0.48301,             0.15997,            0.037093,            0.099033,          4.0041e-08,            0.009901,            0.009901,            0.009901
                   8,             0.04563,             0.11314,          3.6835e-08,             0.56812,             0.55976,             0.57281,             0.20865,             0.03531,              0.0814,          3.8352e-08,           0.0098845,           0.0098845,           0.0098845
                   9,             0.04434,             0.10296,          3.6862e-08,             0.54345,              0.5833,             0.59269,             0.18485,            0.037953,            0.079038,           3.832e-08,            0.009868,            0.009868,            0.009868
                  10,            0.042139,             0.10587,          3.5465e-08,             0.50702,             0.64143,             0.59564,             0.24663,            0.033685,            0.075848,           3.713e-08,           0.0098515,           0.0098515,           0.0098515
                  11,            0.040365,            0.097576,          3.5299e-08,             0.43504,             0.63147,             0.53154,             0.19649,            0.033678,            0.077234,          3.5752e-08,            0.009835,            0.009835,            0.009835
                  12,            0.039287,             0.10271,          3.5393e-08,               0.642,             0.62872,             0.68053,             0.22042,            0.035111,            0.077966,          3.5756e-08,           0.0098185,           0.0098185,           0.0098185
                  13,            0.037803,            0.093368,           3.525e-08,             0.76547,             0.75896,             0.82657,             0.36992,            0.027583,             0.06974,          3.6368e-08,            0.009802,            0.009802,            0.009802
                  14,            0.036439,            0.093545,          3.5078e-08,             0.68477,             0.73997,             0.76205,             0.29145,            0.031946,            0.071655,          3.6658e-08,           0.0097855,           0.0097855,           0.0097855
                  15,            0.038565,            0.088572,           3.512e-08,             0.77876,             0.78088,             0.82676,             0.26036,            0.032136,            0.069963,          3.5208e-08,            0.009769,            0.009769,            0.009769
                  16,            0.037242,            0.092362,          3.4585e-08,             0.84317,             0.75299,             0.82993,              0.3143,            0.030673,            0.067287,          3.5878e-08,           0.0097525,           0.0097525,           0.0097525
                  17,            0.035711,            0.086008,          3.4808e-08,             0.79746,             0.75498,             0.85104,             0.35185,            0.029251,            0.068905,           3.512e-08,            0.009736,            0.009736,            0.009736
                  18,             0.03537,            0.086981,          3.4634e-08,             0.73733,             0.79963,             0.80472,             0.39254,            0.027183,            0.069223,          3.5909e-08,           0.0097195,           0.0097195,           0.0097195
                  19,            0.033645,            0.084441,          3.4587e-08,             0.82235,             0.80876,             0.88241,             0.36067,            0.027372,            0.066219,          3.5452e-08,            0.009703,            0.009703,            0.009703
                  20,            0.034805,            0.088119,          3.4571e-08,             0.86917,             0.77092,             0.87577,             0.36216,            0.027531,            0.064646,          3.5179e-08,           0.0096865,           0.0096865,           0.0096865
                  21,            0.033905,            0.085457,          3.4491e-08,             0.79361,             0.78896,             0.84797,             0.42777,             0.02645,            0.064245,           3.458e-08,             0.00967,             0.00967,             0.00967
                  22,            0.033683,            0.087042,          3.4136e-08,             0.92275,              0.8566,             0.92737,             0.46153,             0.02543,            0.065952,          3.5189e-08,           0.0096535,           0.0096535,           0.0096535
                  23,             0.03415,              0.0869,          3.4281e-08,             0.81964,             0.76096,              0.8426,             0.25509,            0.031433,            0.070319,          3.4575e-08,            0.009637,            0.009637,            0.009637
                  24,            0.032834,            0.080978,          3.4294e-08,              0.8987,             0.75992,             0.88195,             0.41008,            0.027053,            0.069242,          3.5165e-08,           0.0096205,           0.0096205,           0.0096205
                  25,            0.032029,            0.079234,          3.4641e-08,             0.84453,             0.80279,             0.87147,             0.34472,            0.029863,            0.065581,          3.4715e-08,            0.009604,            0.009604,            0.009604
                  26,            0.030638,               0.077,           3.486e-08,             0.89622,             0.85657,             0.92386,             0.50222,            0.025135,            0.063428,          3.5214e-08,           0.0095875,           0.0095875,           0.0095875
                  27,            0.031654,            0.080556,          3.4461e-08,             0.89969,             0.86056,             0.92081,             0.35774,            0.028648,            0.064299,          3.4451e-08,            0.009571,            0.009571,            0.009571
                  28,            0.032381,            0.080266,          3.4446e-08,             0.83989,             0.82669,             0.89283,             0.42852,            0.027585,             0.06445,          3.4771e-08,           0.0095545,           0.0095545,           0.0095545
                  29,            0.030514,            0.081158,          3.4551e-08,             0.91933,             0.86255,             0.94778,             0.52338,            0.022598,            0.060162,          3.5169e-08,            0.009538,            0.009538,            0.009538
                  30,            0.029733,            0.079603,          3.4474e-08,             0.85593,             0.82845,             0.89019,             0.45651,            0.025996,             0.06472,          3.4621e-08,           0.0095215,           0.0095215,           0.0095215
                  31,            0.031226,            0.078189,          3.4144e-08,             0.91797,              0.8506,             0.92132,             0.46734,            0.025206,            0.060472,          3.4787e-08,            0.009505,            0.009505,            0.009505
                  32,            0.029721,            0.076993,          3.4314e-08,              0.9317,             0.86853,             0.94448,             0.51672,            0.024048,            0.060624,          3.4755e-08,           0.0094885,           0.0094885,           0.0094885
                  33,            0.030016,            0.075394,          3.4613e-08,             0.93288,             0.85833,             0.93832,             0.51193,             0.02444,               0.059,          3.4686e-08,            0.009472,            0.009472,            0.009472
                  34,            0.029216,            0.074464,          3.4623e-08,             0.93475,             0.85607,             0.94522,             0.52923,            0.022918,            0.059708,          3.4896e-08,           0.0094555,           0.0094555,           0.0094555
